date,time,ghi,temp_air,wind_speed
01-Jan-19,00:00:00,0,8.533,10.442
01-Jan-19,01:00:00,0,8.491,9.945
01-Jan-19,02:00:00,0,7.985,9.28
01-Jan-19,03:00:00,0,7.082,8.529
01-Jan-19,04:00:00,0,5.909,7.848
01-Jan-19,05:00:00,0,4.632,7.235
01-Jan-19,06:00:00,0,3.806,7.171
01-Jan-19,07:00:00,0,3.306,7.229
01-Jan-19,08:00:00,0.004,2.961,7.276
01-Jan-19,09:00:00,0.146,3.549,7.114
01-Jan-19,10:00:00,0.323,4.581,6.538
01-Jan-19,11:00:00,0.428,5.13,5.96
01-Jan-19,12:00:00,0.433,5.508,5.713
01-Jan-19,13:00:00,0.361,5.618,5.658
01-Jan-19,14:00:00,0.205,5.011,5.97
01-Jan-19,15:00:00,0.046,3.429,6.314
01-Jan-19,16:00:00,0,2.457,6.406
01-Jan-19,17:00:00,0,1.905,6.381
01-Jan-19,18:00:00,0,1.36,6.306
01-Jan-19,19:00:00,0,0.827,6.16
01-Jan-19,20:00:00,0,0.344,5.966
01-Jan-19,21:00:00,0,-0.061,5.746
01-Jan-19,22:00:00,0,-0.403,5.448
01-Jan-19,23:00:00,0,-0.616,5.195
02-Jan-19,00:00:00,0,-0.709,4.936
02-Jan-19,01:00:00,0,-0.723,4.645
02-Jan-19,02:00:00,0,-0.647,4.318
02-Jan-19,03:00:00,0,-0.593,4.094
02-Jan-19,04:00:00,0,-0.608,4.015
02-Jan-19,05:00:00,0,-0.662,4.035
02-Jan-19,06:00:00,0,-0.708,4.056
02-Jan-19,07:00:00,0,-0.707,3.999
02-Jan-19,08:00:00,0.003,-0.626,3.836
02-Jan-19,09:00:00,0.072,0.035,3.471
02-Jan-19,10:00:00,0.157,1.013,2.995
02-Jan-19,11:00:00,0.207,1.534,2.545
02-Jan-19,12:00:00,0.2,1.857,2.282
02-Jan-19,13:00:00,0.167,1.918,2.251
02-Jan-19,14:00:00,0.115,1.867,2.302
02-Jan-19,15:00:00,0.035,1.547,2.353
02-Jan-19,16:00:00,0,1.342,2.496
02-Jan-19,17:00:00,0,1.139,2.747
02-Jan-19,18:00:00,0,0.858,3.051
02-Jan-19,19:00:00,0,0.686,3.346
02-Jan-19,20:00:00,0,0.647,3.551
02-Jan-19,21:00:00,0,0.597,3.634
02-Jan-19,22:00:00,0,0.559,3.643
02-Jan-19,23:00:00,0,0.562,3.585
03-Jan-19,00:00:00,0,0.581,3.399
03-Jan-19,01:00:00,0,0.716,3.148
03-Jan-19,02:00:00,0,0.868,2.979
03-Jan-19,03:00:00,0,0.97,2.897
03-Jan-19,04:00:00,0,0.886,2.995
03-Jan-19,05:00:00,0,0.762,3.368
03-Jan-19,06:00:00,0,0.544,3.903
03-Jan-19,07:00:00,0,0.332,4.343
03-Jan-19,08:00:00,0.003,0.269,4.576
03-Jan-19,09:00:00,0.093,0.86,4.597
03-Jan-19,10:00:00,0.219,1.955,4.362
03-Jan-19,11:00:00,0.307,2.753,3.91
03-Jan-19,12:00:00,0.317,3.114,3.61
03-Jan-19,13:00:00,0.243,2.997,3.719
03-Jan-19,14:00:00,0.131,2.332,4.014
03-Jan-19,15:00:00,0.032,1.525,4.256
03-Jan-19,16:00:00,0,1.212,4.484
03-Jan-19,17:00:00,0,1.211,4.678
03-Jan-19,18:00:00,0,1.239,4.784
03-Jan-19,19:00:00,0,1.225,4.908
03-Jan-19,20:00:00,0,1.178,5.099
03-Jan-19,21:00:00,0,1.197,5.152
03-Jan-19,22:00:00,0,1.232,5.097
03-Jan-19,23:00:00,0,1.322,5.286
04-Jan-19,00:00:00,0,1.492,5.669
04-Jan-19,01:00:00,0,1.718,5.966
04-Jan-19,02:00:00,0,1.93,6.029
04-Jan-19,03:00:00,0,2.155,5.902
